llave_cod_cliente,admin_antiguedad_banco,admin_flag_gerenciado,buro_creditos_otros_bancos,buro_score_apc,buro_wallet_share,comp_flag_atm,comp_flag_bpi,comp_flag_cnb,comp_flag_pos,comp_flag_suc,comp_perc_atm,comp_perc_canal_fisico,comp_perc_cnb,comp_perc_bpi,comp_perc_pos,comp_perc_suc,comp_score_digital,comp_txn_atm,comp_txn_bpi,comp_txn_cnb,comp_txn_pos,comp_txn_suc,comp_usd_atm_prom,comp_usd_bpi_prom,comp_usd_cnb_prom,comp_usd_pos_prom,comp_usd_suc_prom,dem_edad,dem_planilla,finc_bal_act,finc_bal_pas,finc_perc_act_tc,finc_perc_pas_tc,finc_sva,finc_tamano_comercial,pdcto_flag_auto,pdcto_flag_cta_ahorro,pdcto_flag_cta_corriente,pdcto_flag_cta_dpf,pdcto_flag_financomer,pdcto_flag_garantizado,pdcto_flag_hipoteca,pdcto_flag_pp,pdcto_flag_seguros,pdcto_flag_tiene_tdc,pdcto_flag_tiene_tdd,pdcto_ivc_actual
484,23,0,1,721,0.03,0,0,1,0,1,0,0,0.52,0,0,0.48,0,0,0,17,0,16,0,0,334.208333,0,1233.414166,56,0,373.443,5850.607,0.06,0.94,28.916394,6224.05,0,1,0,0,0,0,0,0,1,1,0,2
622,23,0,1,809,0.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,45309.4,0,1,0,32.474229,45309.4,0,1,0,0,0,0,0,0,1,1,0,2
845,23,0,0,472,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,10.166666,74,0,0,344.55,0,1,1.303705,344.55,0,1,0,0,0,0,0,0,0,0,0,1
884,23,0,1,625,0.56,1,0,0,1,1,0.42,0,0,0,0.5,0.08,0,74,0,0,87,14,531.25,0,0,154.024166,114.25,54,1,2683.3428,171.2772,0.94,0.06,15.806874,2854.62,0,1,1,0,0,0,0,1,0,0,1,3
961,23,0,1,576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0.13,0,1,3.216368,0.13,0,1,1,0,0,0,0,0,0,0,0,2
1247,23,0,1,784,0.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,31718.94,0,1,0,34.336001,31718.94,0,1,1,0,0,0,1,0,0,0,0,3
1382,23,0,0,,0,0,1,0,0,1,0,0,0,0.9,0,0.1,0,0,9,0,0,1,0,245,0,0,183.333333,84,0,7512.41,0,1,0,19.288266,7512.41,0,1,0,0,0,0,0,0,1,0,0,2
1391,23,0,1,500,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,36.666666,60,0,0,222.95,0,1,2.60741,222.95,0,1,0,0,0,0,0,0,0,0,0,1
1410,23,0,1,671,0.56,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,14,0,0,0,0,362.416666,59,0,19312.48,0,1,0,13.067101,19312.48,1,1,0,0,0,0,0,0,0,0,0,2
1425,23,0,1,787,0.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,3960.08,0,1,0,15.585262,3960.08,0,0,0,0,0,0,0,0,1,1,0,1
1659,23,0,1,557,0.67,0,1,0,0,1,0,0,0,0.56,0,0.44,0,0,5,0,0,4,0,4.195833,0,0,108.333333,56,0,14793.0804,301.8996,0.98,0.02,36.539419,15094.98,0,1,1,0,0,0,0,0,1,1,1,3
1823,23,0,0,604,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,14.55,0,1,0,15.585262,14.55,0,1,0,0,0,0,0,0,1,1,0,2
2297,23,0,0,589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,44.14,0,1,2.579584,44.14,0,1,0,0,0,0,0,0,0,0,0,1
2373,23,0,1,565,0,1,0,0,1,1,0.36,0,0,0,0.6,0.05,0,61,0,0,102,8,699.166666,0,0,607.344166,1415.3675,58,0,0,80.73,0,1,2.152527,80.73,0,1,0,0,0,0,0,0,0,0,1,1
2981,23,0,1,813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0.63,0,1,1.303705,0.63,0,1,0,0,0,0,0,0,0,0,0,1
2994,23,0,0,,0,1,0,0,1,1,0.37,0,0,0,0.12,0.51,0,25,0,0,8,35,373.333333,0,0,39.125,2420.833333,90,0,0,7034.9,0,1,8.73033,7034.9,0,1,0,0,0,0,0,0,0,0,1,1
3207,23,0,1,731,0,1,0,0,1,1,0.37,0,0,0,0.57,0.06,0,47,0,0,73,7,547.916666,0,0,278.443333,535.6625,65,0,0,1392.17,0,1,2.693326,1392.17,0,1,0,0,0,0,0,0,0,0,1,1
3329,23,0,1,848,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,5259.85,0,1,0,41.998629,5259.85,0,0,0,0,0,0,0,0,1,1,0,1
3749,23,0,1,790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,1.303705,0,0,1,0,0,0,0,0,0,0,0,0,1
3779,23,0,1,551,0.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,79492.74,0,1,0,20.291528,79492.74,0,1,0,0,0,0,1,0,0,0,0,2
3820,23,0,0,,0,1,0,0,1,1,0.52,0,0,0,0.45,0.03,0,74,0,0,64,4,279.583333,0,0,110.003333,101.666666,60,0,0,4.84,0,1,19.558913,4.84,0,1,1,0,0,0,0,0,0,0,1,2
3881,23,0,1,737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,3.216368,0,0,1,1,0,0,0,0,0,0,0,0,2
3940,23,0,1,669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,1.289792,0,0,1,0,0,0,0,0,0,0,0,0,1
3982,23,0,1,728,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,14554.29,0,1,0,20.291528,14554.29,0,0,0,0,0,0,1,0,0,0,0,1
4083,23,0,1,691,0.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,21745.6,0,1,0,31.170524,21745.6,0,0,0,0,0,0,0,0,1,1,0,1
4150,23,0,1,727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,1.289792,0,0,1,0,0,0,0,0,0,0,0,0,1
4247,23,0,1,603,0,1,0,0,1,1,0.6,0,0,0,0.3,0.1,0,6,0,0,3,1,54.583333,0,0,6.0075,5,54,0,0,0.01,0,1,2.152527,0.01,0,1,0,0,0,0,0,0,0,0,1,1
4360,23,0,0,,0,1,0,0,1,1,0.09,0,0,0,0.16,0.75,0,3,0,0,5,24,59.166666,0,0,24.0275,1435.9,90,0,0,5545.79,0,1,7.78693,5545.79,0,1,0,0,0,0,0,0,0,0,1,1
5087,23,0,1,741,0,1,0,0,0,0,1,0,0,0,0,0,0,54,0,0,0,0,1100.25,0,0,0,0,58,1,0,40.64,0,1,2.152527,40.64,0,1,0,0,0,0,0,0,0,0,1,1
5220,23,0,0,674,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,1527.1,0,1,0,10.692096,1527.1,0,0,0,0,0,0,0,1,0,0,0,1
5390,23,0,1,527,0,1,0,0,1,0,0.7,0,0,0,0.3,0,0,33,0,0,14,0,532.5,0,0,27.265833,0,43,0,0,0.01,0,1,3.234125,0.01,0,1,0,0,0,0,0,0,0,0,1,1
5609,23,0,1,782,0,0,0,0,1,1,0,0,0,0,0.67,0.33,0,0,0,0,2,1,0,0,0,2.148333,363.8025,49,0,0,2.21,0,1,3.456232,2.21,0,1,0,0,0,0,0,0,0,1,1,2
5612,23,0,1,830,0.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,32886.09,0,1,0,11.449469,32886.09,0,1,0,0,0,0,1,0,0,0,0,2
5692,23,0,1,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,4.32,0,1,1.303705,4.32,0,1,0,0,0,0,0,0,0,0,0,1
5714,23,0,1,753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,4.08,0,1,,4.08,0,1,0,0,0,0,0,0,0,0,0,1
5816,23,0,0,577,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,209.853333,77,0,12544.11,0,1,0,61.002715,12544.11,0,1,0,0,0,0,0,1,0,0,0,2
5842,23,0,1,534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,77.7,0,1,,77.7,0,1,0,0,0,0,0,0,0,0,0,1
5975,23,0,1,748,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,26855.12,0,1,0,31.170524,26855.12,0,0,0,0,0,0,0,0,1,1,0,1
6098,23,0,1,792,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,472.68,0,1,0,15.585262,472.68,0,0,0,0,0,0,0,0,1,1,0,1
6116,23,0,0,,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,195.833333,84,0,0,10745.75,0,1,1.303705,10745.75,0,1,0,0,0,0,0,0,0,0,0,1
6209,23,0,1,712,0,1,0,0,1,0,0.99,0,0,0,0.01,0,0,117,0,0,1,0,611.666666,0,0,18.79,0,45,1,0,187.6,0,1,2.775398,187.6,0,0,1,0,0,0,0,0,0,0,1,1
6218,23,0,0,626,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,15837.27,0,1,0,10.692096,15837.27,0,0,0,0,0,0,0,1,0,0,0,1
6244,23,0,1,375,0.27,1,1,0,0,1,0.05,0,0,0.37,0,0.58,0,1,7,0,0,11,16.666666,61.841666,0,0,105.833333,59,0,5898.94,0,1,0,25.533627,5898.94,0,1,1,0,0,0,0,0,1,1,0,3
6366,23,0,1,672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,1734.33,0,1,0,23.925054,1734.33,0,1,0,0,0,0,0,0,1,1,0,2
6534,23,0,0,648,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,14394.56,0,1,0,10.692096,14394.56,0,0,0,0,0,0,0,1,0,0,0,1
6542,23,0,1,695,0,1,0,0,1,0,0.31,0,0,0,0.69,0,0,26,0,0,59,0,162.5,0,0,112.9475,0,51,0,0,166.73,0,1,4.079103,166.73,0,1,1,0,0,0,0,0,0,0,1,2
6566,23,0,0,,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,46.666666,58,0,0,7621.34,0,1,2.394955,7621.34,0,1,0,0,0,0,0,0,0,0,0,1
6600,23,0,1,747,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,141.393333,59,0,0,0.31,0,1,1.303705,0.31,0,1,0,0,0,0,0,0,0,0,0,1
6739,23,0,0,644,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,28,0,0,0,0,229.408333,54,0,9016.23,0,1,0,13.234315,9016.23,0,0,0,0,0,0,1,0,0,0,0,1
7095,23,0,1,831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,1.926576,0,0,0,1,0,0,0,0,0,0,0,0,1
7207,23,0,1,674,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,41.88,69,0,0,0,0,0,5.809865,0,0,0,1,0,0,0,0,0,0,0,0,1
7288,23,0,0,767,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,4961.9,0,1,0,15.585262,4961.9,0,1,0,0,0,0,0,0,1,1,0,2
7353,23,0,1,693,0.24,1,1,0,1,1,0.11,0,0,0.43,0.38,0.09,2,6,24,0,21,5,14.166666,21,0,134.353333,172.416666,57,0,7210.1246,147.1454,0.98,0.02,30.545733,7357.27,0,1,0,0,0,0,0,1,1,0,1,2
7438,23,0,1,503,0.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,4749.32,0,1,0,10.692096,4749.32,0,0,0,0,0,0,0,1,0,0,0,1
7550,23,0,0,776,0,1,0,0,1,1,0.27,0,0,0,0.09,0.64,0,3,0,0,1,7,50,0,0,4.421666,685.833333,47,0,0,234.62,0,1,3.456232,234.62,0,1,0,0,0,0,0,0,0,0,1,1
7801,23,0,0,,0,1,0,0,1,1,0.3,0,0,0,0.56,0.14,0,27,0,0,51,13,489.583333,0,0,194.3825,764.166666,81,0,0,2395.73,0,1,5.709982,2395.73,0,1,0,0,0,0,0,0,0,0,1,1
7929,23,0,1,773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,1.289792,0,0,1,0,0,0,0,0,0,0,0,0,1
8119,23,0,1,665,0,1,0,0,1,0,0.96,0,0,0,0.04,0,0,130,0,0,5,0,597.083333,0,0,5.9025,0,56,1,0,4.02,0,1,24.431608,4.02,0,0,1,0,0,0,0,0,0,0,1,1
8232,23,0,1,648,0,1,0,0,1,1,0.38,0,0,0,0.46,0.16,0,43,0,0,52,18,115.26,0,0,83.4525,67.083333,72,0,0,481.51,0,1,5.504782,481.51,0,1,0,0,0,0,0,0,0,0,1,1
8699,23,0,1,767,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,6461.17,0,1,0,15.585262,6461.17,0,0,0,0,0,0,0,0,1,1,0,1
8839,23,0,0,580,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,21395.08,0,1,0,10.692096,21395.08,0,0,0,0,0,0,0,1,0,0,0,1
8974,23,0,1,573,0.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,26380.15,0,1,0,10.692096,26380.15,0,0,0,0,0,0,0,1,0,0,0,1
9182,23,0,1,868,0.8,1,0,0,1,1,0.17,0,0,0,0.79,0.04,0,90,0,0,430,22,1668.166666,0,0,1254.576666,3175,59,0,86106.4554,1757.2746,0.98,0.02,46.627129,87863.73,0,1,1,0,0,0,1,0,1,1,1,4
9276,23,0,1,572,0.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,24658.39,0,1,0,10.692096,24658.39,0,0,0,0,1,0,0,1,0,0,0,2
9393,23,0,0,640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,1.02,0,1,1.303705,1.02,0,1,0,0,0,0,0,0,0,0,0,1
9769,23,0,1,712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,884.6592,497.6208,0.64,0.36,15.585262,1382.28,0,1,0,0,0,0,0,0,1,1,0,2
9772,23,0,0,658,1,1,0,0,0,1,0.97,0,0,0,0,0.03,0,28,0,0,0,1,175,0,0,0,41.666666,64,0,44775.06,0,1,0,45.096745,44775.06,0,1,0,0,0,0,0,1,1,1,1,3
10019,23,0,1,653,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,25,0,0,0,0,601.503333,61,1,0,0,0,0,5.325462,0,0,1,0,0,0,0,0,0,0,0,1,1
10252,23,0,0,646,0,1,0,0,1,0,0.78,0,0,0,0.22,0,0,53,0,0,15,0,602.083333,0,0,29.688333,0,53,1,0,6.26,0,1,2.775398,6.26,0,0,1,0,0,0,0,0,0,0,1,1
10309,23,0,0,490,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,3288.47,0,1,0,10.692096,3288.47,0,0,0,0,0,0,0,1,0,0,0,1
10386,23,0,1,535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,1.289792,0,0,1,0,0,0,0,0,0,0,0,0,1
10414,23,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,3.02,0,1,1.303705,3.02,0,1,0,0,0,0,0,0,0,0,0,1
10609,23,0,1,815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,1,0,1
10699,23,0,1,833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,1.289792,0,0,1,0,0,0,0,0,0,0,0,0,1
10748,23,0,0,487,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,18257.65,0,1,0,10.692096,18257.65,0,0,0,0,0,0,0,1,0,0,0,1
10943,23,0,1,784,0.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,4999.8,0,1,0,29.629735,4999.8,0,1,0,0,0,0,0,0,1,1,0,2
11810,23,0,1,546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,1.303705,0,0,1,0,0,0,0,0,0,0,0,0,1
11878,23,0,1,718,0,1,0,0,0,1,0.6,0,0,0,0,0.4,0,3,0,0,0,2,15.833333,0,0,0,12.833333,59,0,0,80.17,0,1,3.456232,80.17,0,1,0,0,0,0,0,0,0,0,1,1
11880,23,0,1,662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0.82,0,1,1.303705,0.82,0,1,1,0,0,0,0,0,0,0,1,2
12118,23,0,0,,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,32,0,0,0,0,2019.166666,86,0,2195.3841,217.1259,0.91,0.09,22.355914,2412.51,0,1,0,0,0,0,0,0,1,1,0,2
12282,23,0,1,685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,2132.1,0,1,0,18.80163,2132.1,0,1,1,0,0,0,0,0,1,1,0,3
12444,23,0,0,604,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,9908.46,0,1,0,10.692096,9908.46,0,0,0,0,0,0,0,1,0,0,0,1
12454,23,0,0,648,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,3270.65,0,1,0,10.692096,3270.65,0,0,0,0,0,0,0,1,0,0,0,1
12483,23,0,0,679,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,20691.58,0,1,0,10.692096,20691.58,0,0,0,0,0,0,0,1,0,0,0,1
12510,23,0,1,767,0.12,0,1,0,0,1,0,0,0,0.93,0,0.07,1,0,13,0,0,1,0,7591.3675,0,0,153.666666,60,0,22309.5232,2757.3568,0.89,0.11,30.797431,25066.88,0,1,0,0,0,1,0,0,1,1,0,3
12571,23,0,0,581,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,18889.36,0,1,0,10.692096,18889.36,0,0,0,0,0,0,0,1,0,0,0,1
12680,23,0,1,524,0,1,0,0,1,1,0.71,0,0,0,0.24,0.06,0,24,0,0,8,2,138.75,0,0,29.111666,157.885,52,0,0,6.98,0,1,2.693326,6.98,0,1,0,0,0,0,0,0,0,0,1,1
13115,23,0,1,777,0.94,1,0,0,0,1,0.44,0,0,0,0,0.56,0,38,0,0,0,49,531.666666,0,0,0,697.5,60,0,0,2290.01,0,1,9.220599,2290.01,0,1,0,0,0,0,0,0,0,0,0,1
13230,23,0,1,608,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,5145.92,0,1,0,10.692096,5145.92,0,0,0,0,0,0,0,1,0,0,0,1
13783,23,0,1,658,0.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,32095.77,0,1,0,37.105463,32095.77,0,1,0,0,0,0,0,1,1,1,0,3
13862,23,0,1,481,0,1,0,0,1,1,0.53,0,0,0,0.4,0.07,0,163,0,0,122,21,2168.489166,0,0,565.663333,801.333333,49,0,0,53.13,0,1,6.9133,53.13,0,1,0,0,0,0,0,0,0,0,1,1
14105,23,0,1,697,0.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,1282.47,0,1,0,21.520201,1282.47,0,0,0,0,0,0,0,1,0,0,0,1
14117,23,0,1,677,0.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,11622.35,0,1,0,21.520201,11622.35,0,0,0,0,0,0,0,1,0,0,0,1
14122,23,0,1,729,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,3120.41,0,1,0,16.434084,3120.41,0,0,0,0,0,0,0,0,1,1,1,1
14219,23,0,1,557,0.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,10722.34,0,1,0,19.110262,10722.34,0,0,0,0,0,0,0,0,1,1,0,1
14458,23,0,0,,0,0,0,1,0,1,0,0,0.03,0,0,0.97,0,0,0,1,0,36,0,0,5,0,2054.768333,83,0,0,7200.11,0,1,5.05827,7200.11,0,1,0,0,0,0,0,0,0,0,0,1
14485,23,0,1,776,0,1,0,0,1,1,0.13,0,0,0,0.25,0.63,0,1,0,0,2,5,8.333333,0,0,0.668333,1038.333333,56,0,0,70.95,0,1,2.152527,70.95,0,1,0,0,0,0,0,0,0,0,1,1
14653,23,0,1,,0.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,1424.85,0,1,0,10.692096,1424.85,0,0,0,0,0,0,0,1,0,0,0,1
14672,23,0,1,759,0,1,1,0,0,1,0.33,0,0,0.33,0,0.33,0,1,1,0,0,1,4.166666,8.333333,0,0,41.666666,46,0,0,957.94,0,1,18.278588,957.94,0,1,0,0,0,0,0,0,1,1,1,2
14868,23,0,0,,0,1,0,0,0,0,1,0,0,0,0,0,0,62,0,0,0,0,325.416666,0,0,0,0,69,0,0,5749.02,0,1,3.234125,5749.02,0,1,0,0,0,0,0,0,0,0,1,1
14995,23,0,1,797,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,17866.09,0,1,0,15.585262,17866.09,0,0,0,0,0,0,0,0,1,1,0,1
15030,23,0,1,621,0,1,0,0,1,1,0.8,0,0,0,0.18,0.02,0,44,0,0,10,1,354.583333,0,0,33.301666,74.375833,57,1,0,249.63,0,1,3.456232,249.63,0,1,0,0,0,0,0,0,0,0,1,1
15124,23,0,1,682,0.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,16862.51,0,1,0,26.277358,16862.51,0,0,0,0,0,0,0,1,1,1,0,2
15172,23,0,1,615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,3.216368,0,0,1,1,0,0,0,0,0,0,0,0,2
15353,23,0,1,856,0.25,1,1,1,1,1,0.44,0.65,0.16,0.06,0.29,0.05,0,28,4,10,18,3,58.3625,114.8125,141.666666,28.895,125.694166,64,0,958.5004,884.7696,0.52,0.48,23.189365,1843.27,0,1,1,0,0,0,0,0,1,1,1,3
15404,23,0,1,640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,4.21,0,1,10.828105,4.21,0,1,0,0,0,0,0,0,0,0,0,1
15662,23,0,1,559,0.94,1,0,0,1,1,0.89,0,0,0,0.01,0.1,0,165,0,0,2,19,630,0,0,0.418333,206.950833,59,1,29750.8,0,1,0,13.964996,29750.8,0,1,1,0,0,0,1,0,0,0,1,3
15694,23,0,1,603,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,7501.65,0,1,0,10.692096,7501.65,0,0,0,0,0,0,0,1,0,0,0,1
15925,23,0,1,728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0.05,0,1,3.216368,0.05,0,1,1,0,0,0,0,0,1,0,0,2
16061,23,0,0,604,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,9578.19,0,1,0,21.520201,9578.19,0,0,0,0,0,0,0,1,0,0,0,1
16147,23,0,1,675,0.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,792.14,0,1,0,10.692096,792.14,0,0,0,0,0,0,0,1,0,0,0,1
16454,23,0,0,527,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,11.666666,62,0,0,2751.88,0,1,1.303705,2751.88,0,1,0,0,0,0,0,0,0,0,0,1
16594,23,0,1,712,0.17,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,14,0,0,0,0,113.99,68,0,6867.27,0,1,0,28.068064,6867.27,0,1,0,0,0,0,1,0,1,1,0,3
16942,23,0,1,554,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,5563.61,0,1,0,10.692096,5563.61,0,1,0,0,0,0,0,1,0,0,0,2
16951,23,0,1,737,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,12.5,0,1,0,15.585262,12.5,0,0,0,0,0,0,0,0,1,1,0,1
17163,23,0,1,503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,34.47,0,1,0,15.585262,34.47,0,0,0,0,0,0,0,0,1,1,0,1
17238,23,0,0,638,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,9851.44,0,1,0,10.692096,9851.44,0,0,0,0,0,0,0,1,0,0,0,1
17390,23,0,1,702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,1241.5,0,1,0,15.585262,1241.5,0,0,0,0,0,0,0,0,1,1,0,1
17675,23,0,1,471,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,22573.82,0,1,0,10.692096,22573.82,0,0,0,0,0,0,0,1,0,0,0,1
17718,23,0,1,808,0,1,0,0,1,0,0.93,0,0,0,0.07,0,0,94,0,0,7,0,1853.75,0,0,32.459166,0,68,1,5321.7442,1089.9958,0.83,0.17,2.775398,6411.74,0,0,1,0,0,0,0,0,0,1,1,2
18054,23,0,1,818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,1.289792,0,0,1,0,0,0,0,0,0,0,0,0,1
18346,23,0,0,626,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,23048.56,0,1,0,10.692096,23048.56,0,1,0,0,0,0,0,1,0,0,0,2
