llave_cod_cliente,admin_antiguedad_banco,admin_flag_gerenciado,buro_creditos_otros_bancos,buro_score_apc,buro_wallet_share,comp_flag_atm,comp_flag_bpi,comp_flag_cnb,comp_flag_pos,comp_flag_suc,comp_perc_atm,comp_perc_canal_fisico,comp_perc_cnb,comp_perc_bpi,comp_perc_pos,comp_perc_suc,comp_score_digital,comp_txn_atm,comp_txn_bpi,comp_txn_cnb,comp_txn_pos,comp_txn_suc,comp_usd_atm_prom,comp_usd_bpi_prom,comp_usd_cnb_prom,comp_usd_pos_prom,comp_usd_suc_prom,dem_edad,dem_planilla,finc_bal_act,finc_bal_pas,finc_perc_act_tc,finc_perc_pas_tc,finc_sva,finc_tamano_comercial,pdcto_flag_auto,pdcto_flag_cta_ahorro,pdcto_flag_cta_corriente,pdcto_flag_cta_dpf,pdcto_flag_financomer,pdcto_flag_garantizado,pdcto_flag_hipoteca,pdcto_flag_pp,pdcto_flag_seguros,pdcto_flag_tiene_tdc,pdcto_flag_tiene_tdd,pdcto_ivc_actual
148021,20,0,1,581,0,1,0,0,0,1,0.91,0,0,0,0,0.09,0,21,0,0,0,2,387.083333,0,0,0,26.241666,63,1,0,2.85,0,1,2.152527,2.85,0,1,0,0,0,0,0,0,0,0,1,1
148193,20,0,0,,0,1,1,0,1,1,0.07,0,0,0.28,0.18,0.47,2,7,27,0,18,46,276.666666,2550.340833,0,77.54,27653.47833,39,0,0,249.08,0,1,3.456232,249.08,0,1,0,0,0,0,0,0,0,0,0,1
148217,20,0,1,565,0.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,17967.71,0,1,0,10.692096,17967.71,0,0,0,0,0,0,0,1,0,0,0,1
148352,20,0,1,517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,1.289792,0,0,1,0,0,0,0,0,0,0,0,0,1
148388,20,0,0,699,1,1,1,0,0,1,0.13,0,0,0.77,0,0.1,2,14,80,0,0,10,516.666666,4499.405,0,0,1348.478333,72,0,2875.8092,69019.4208,0.04,0.96,6.478921,71895.23,0,1,0,0,0,0,0,0,1,1,1,2
148679,20,0,1,548,0.05,1,0,0,1,1,0.14,0,0,0,0.85,0.01,0,61,0,0,385,5,529.166666,0,0,1209.610833,603.333333,48,1,4350.5679,327.4621,0.93,0.07,66.203051,4678.03,0,1,0,0,0,0,0,0,1,1,1,2
148970,20,0,1,757,0.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,8616.75,0,1,0,15.585262,8616.75,0,0,0,0,0,0,0,0,1,1,0,1
149434,20,0,1,791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0.03,0,1,3.853152,0.03,0,0,1,0,0,0,0,0,1,0,0,1
149451,20,0,1,603,0,1,0,0,1,0,0.37,0,0,0,0.63,0,0,7,0,0,12,0,38.333333,0,0,28.890833,0,68,0,0,0.01,0,1,2.152527,0.01,0,1,0,0,0,0,0,0,0,0,1,1
149603,20,0,1,809,0.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,10061.77,0,1,0,10.145764,10061.77,0,0,0,0,0,0,1,0,0,0,0,1
