llave_cod_cliente,admin_antiguedad_banco,admin_flag_gerenciado,buro_creditos_otros_bancos,buro_score_apc,buro_wallet_share,comp_flag_atm,comp_flag_bpi,comp_flag_cnb,comp_flag_pos,comp_flag_suc,comp_perc_atm,comp_perc_canal_fisico,comp_perc_cnb,comp_perc_bpi,comp_perc_pos,comp_perc_suc,comp_score_digital,comp_txn_atm,comp_txn_bpi,comp_txn_cnb,comp_txn_pos,comp_txn_suc,comp_usd_atm_prom,comp_usd_bpi_prom,comp_usd_cnb_prom,comp_usd_pos_prom,comp_usd_suc_prom,dem_edad,dem_planilla,finc_bal_act,finc_bal_pas,finc_perc_act_tc,finc_perc_pas_tc,finc_sva,finc_tamano_comercial,pdcto_flag_auto,pdcto_flag_cta_ahorro,pdcto_flag_cta_corriente,pdcto_flag_cta_dpf,pdcto_flag_financomer,pdcto_flag_garantizado,pdcto_flag_hipoteca,pdcto_flag_pp,pdcto_flag_seguros,pdcto_flag_tiene_tdc,pdcto_flag_tiene_tdd,pdcto_ivc_actual,dem_salario
99027104,1,0,1,,0,1,0,0,1,1,0.25,0,0,0,0.7,0.05,0,71,0,0,200,15,936.833333,0,0,374.814166,122.666666,40,0,0,0.22,0,1,6.306627,0.22,0,1,0,0,0,0,0,0,0,0,1,1,1085.26
99027366,1,0,0,542,0,1,0,0,1,1,0.69,0,0,0,0.21,0.1,0,20,0,0,6,3,119.166666,0,0,8.150833,23.12,20,0,0,10.63,0,1,4.079103,10.63,0,1,1,0,0,0,0,0,0,0,1,2,667.39
99027367,1,0,1,652,0.92,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,16,0,0,0,0,1799.676666,43,0,7782.75,0,1,0,14.33845,7782.75,0,1,0,0,0,0,0,1,0,0,0,2,1341.30
99027482,1,0,0,,0,1,1,0,1,1,0.3,0,0,0.3,0.24,0.16,2,67,67,0,52,35,295,407.733333,0,176.253333,1834.166666,35,0,0,2.65,0,1,8.550373,2.65,0,1,0,0,0,0,0,0,0,0,1,1,780.28
99027509,1,0,0,485,1,1,0,0,1,1,0.52,0,0,0,0.41,0.07,0,14,0,0,11,2,85.833333,0,0,35.543333,334.166666,33,0,6587.22,0,1,0,12.844623,6587.22,0,1,0,0,0,0,0,1,0,0,1,2,565.76
99027611,1,0,0,,0,1,0,0,1,1,0.19,0,0,0,0.75,0.07,0,17,0,0,68,6,50,0,0,110.7475,118.551666,22,0,0,106.68,0,1,2.152527,106.68,0,1,0,0,0,0,0,0,0,0,1,1,761.16
99027619,1,0,0,495,0,1,0,0,1,1,0.88,0,0,0,0.06,0.06,0,29,0,0,2,2,337.083333,0,0,0.5,72.851666,27,1,0,1.09,0,1,4.381456,1.09,0,0,1,0,0,0,0,0,0,0,1,1,657.75
99027627,1,0,1,397,0,1,0,0,1,1,0.37,0,0,0,0.62,0.01,0,33,0,0,55,1,442.083333,0,0,73.318333,25.25,25,1,0,2.68,0,1,2.775398,2.68,0,0,1,0,0,0,0,0,0,0,1,1,664.10
99027636,1,0,1,469,0,1,0,0,1,0,0.39,0,0,0,0.61,0,0,48,0,0,75,0,423.333333,0,0,58.288333,0,23,1,0,3.71,0,1,2.775398,3.71,0,0,1,0,0,0,0,0,0,0,1,1,624.18
99027683,1,0,0,548,0,1,1,0,1,1,0.25,0,0,0.08,0.55,0.11,0,18,6,0,39,8,44.583333,0.575,0,48.860833,109.708333,21,0,0,0.01,0,1,6.630045,0.01,0,1,0,0,0,0,0,0,0,0,1,1,681.03
99027686,1,0,0,542,0,1,1,0,1,1,0.66,0,0,0.08,0.22,0.04,1,149,19,0,49,10,730.255833,82.825,0,114.43,55.166666,23,1,0,74.85,0,1,3.723871,74.85,0,1,0,0,0,0,0,0,0,0,1,1,749.45
99027820,1,0,0,,0,1,0,0,1,1,0.05,0,0,0,0.82,0.13,0,6,0,0,108,17,191.666666,0,0,498.795,2997.916666,65,0,0,668.21,0,1,2.152527,668.21,0,1,0,0,0,0,0,0,0,0,1,1,814.09
99027845,1,0,0,,0,1,0,0,1,1,0.38,0,0,0,0.54,0.07,0,47,0,0,67,9,276.25,0,0,81.3575,152.5,19,0,0,24.98,0,1,7.516456,24.98,0,1,0,0,0,0,0,0,0,0,1,1,869.72
99027896,1,0,0,,0,1,0,0,0,0,1,0,0,0,0,0,0,35,0,0,0,0,727.5,0,0,0,0,19,1,0,1.31,0,1,2.775398,1.31,0,0,1,0,0,0,0,0,0,0,1,1,661.27
99027906,1,0,1,279,0,1,0,0,1,1,0.54,0,0,0,0.31,0.15,0,7,0,0,4,2,63.75,0,0,4.148333,327.48,25,0,0,1.9,0,1,3.456232,1.9,0,1,0,0,0,0,0,0,0,0,1,1,677.59
99027915,1,0,0,,0,1,0,0,1,1,0.24,0,0,0,0.61,0.15,0,96,0,0,245,58,728.75,0,0,608.196666,6796.4275,30,0,0,562.81,0,1,15.892198,562.81,0,1,0,0,0,0,0,0,0,0,1,1,1009.03
99028007,1,0,0,527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,627.6944,40.0656,0.94,0.06,15.585262,667.76,0,1,0,0,0,0,0,0,1,1,0,2,650.00
99028375,1,0,0,0,0,1,1,0,1,1,0.01,0,0,0.16,0.77,0.07,2,1,24,0,117,10,41.666666,2283.085,0,555.469166,5104.166666,48,0,0,20443.66,0,1,2.152527,20443.66,0,1,0,0,0,0,0,0,0,0,1,1,1117.27
99028410,1,0,0,,0,1,0,0,1,1,0.67,0,0,0,0.26,0.07,0,80,0,0,31,8,158.333333,0,0,52.461666,217.083333,21,0,0,140.47,0,1,2.152527,140.47,0,1,0,0,0,0,0,0,0,0,1,1,907.71
99028478,1,0,1,415,0.16,1,0,0,1,1,0.71,0,0,0,0.24,0.06,0,12,0,0,4,1,97.5,0,0,12.664166,116.666666,37,0,6653.7,0,1,0,12.844623,6653.7,0,1,0,0,0,0,0,1,0,0,1,2,800.00
99028547,1,0,0,,0,1,0,0,1,1,0.88,0,0,0,0.1,0.01,0,69,0,0,8,1,739.583333,0,0,44.726666,0.833333,21,0,0,0.84,0,1,3.234125,0.84,0,1,0,0,0,0,0,0,0,0,1,1,887.98
99028623,1,0,1,,0,1,0,0,1,0,0.86,0,0,0,0.14,0,0,82,0,0,13,0,686.25,0,0,19.995,0,26,1,0,3.5,0,1,2.775398,3.5,0,0,1,0,0,0,0,0,0,0,1,1,627.66
99028677,1,0,0,,0,1,1,0,1,1,0.4,0,0,0.1,0.48,0.02,1,82,20,0,97,4,231.666666,57.5625,0,228.938333,63.266666,26,0,0,0,0,0,2.775398,0,0,0,1,0,0,0,0,0,0,0,1,1,896.78
99028832,1,0,0,421,0,1,1,0,1,1,0.15,0,0,0.58,0.25,0.02,2,36,145,0,62,5,845,1316.015,0,221.2575,286.450833,33,1,0,3238.51,0,1,4.929398,3238.51,0,0,1,0,0,0,0,0,0,0,1,1,1332.97
99028996,1,0,0,537,0,1,1,0,1,1,0.3,0,0,0.47,0.21,0.02,2,37,57,0,26,2,870.416666,1553,0,55.778333,120.833333,34,1,0,1802.84,0,1,4.079103,1802.84,0,1,1,0,0,0,0,0,0,0,1,2,1214.95
99029328,1,0,0,469,0,1,0,0,1,1,0.09,0,0,0,0.64,0.27,0,1,0,0,7,3,3.333333,0,0,12.763333,19.166666,24,0,0,0.34,0,1,2.152527,0.34,0,1,0,0,0,0,0,0,0,0,1,1,679.20
99029402,1,0,0,,0,1,0,0,1,1,0.55,0,0,0,0.14,0.31,0,32,0,0,8,18,417.333333,0,0,27.01,344.050833,50,0,7642.81,0,1,0,13.88443,7642.81,0,1,0,0,0,0,0,1,0,0,1,2,725.00
99029540,1,0,0,580,0,1,1,0,1,1,0.33,0,0,0.11,0.54,0.02,2,162,56,0,266,8,540.416666,155.6625,0,268.055833,136.3525,27,1,0,227.06,0,1,4.927925,227.06,0,1,1,0,0,0,0,0,0,0,1,2,731.58
99029732,1,0,0,,0,1,0,0,0,1,0.94,0,0,0,0,0.06,0,31,0,0,0,2,772.333333,0,0,0,57.786666,22,1,0,103.91,0,1,4.079103,103.91,0,1,1,0,0,0,0,0,0,0,1,2,753.19
99029755,1,0,0,361,0,1,0,0,1,1,0.73,0,0,0,0.25,0.02,0,37,0,0,13,1,507.916666,0,0,16.995,15.955833,20,1,75.17,0,1,0,2.775398,75.17,0,0,1,0,0,0,0,0,0,0,1,2,626.48
99029776,1,0,0,495,0,1,0,0,0,1,0.75,0,0,0,0,0.25,0,3,0,0,0,1,2.5,0,0,0,5,44,0,0,0.02,0,1,2.152527,0.02,0,1,0,0,0,0,0,0,0,0,1,1,691.53
99029945,1,0,1,503,0,1,0,0,1,1,0.67,0,0,0,0.31,0.02,0,43,0,0,20,1,623.333333,0,0,94.49,26.573333,30,1,0,3.9,0,1,2.775398,3.9,0,0,1,0,0,0,0,0,0,0,1,1,695.63
99029962,1,0,0,457,0,1,1,0,1,0,0.34,0,0,0.1,0.55,0,1,79,23,0,127,0,580.389166,79.954166,0,612.1325,0,27,1,0,433.65,0,1,2.775398,433.65,0,0,1,0,0,0,0,0,0,0,1,1,861.61
99030265,1,0,1,,0,1,0,0,1,1,0.41,0,0,0,0.58,0,0,90,0,0,126,1,372.1125,0,0,134.661666,8.333333,29,0,0,0.76,0,1,2.775398,0.76,0,0,1,0,0,0,0,0,0,0,1,1,538.61
99030321,1,0,0,347,0,1,0,0,1,0,0.66,0,0,0,0.34,0,0,21,0,0,11,0,269.583333,0,0,40.264166,0,32,0,0,3.2,0,1,2.775398,3.2,0,0,1,0,0,0,0,0,0,0,1,1,650.93
99030414,1,0,1,618,0.17,1,1,0,1,1,0.23,0,0,0.21,0.56,0,2,96,89,0,237,2,310.833333,179.125,0,234.4375,3.333333,31,1,2168.64,240.96,0.9,0.1,18.90146,2409.6,0,0,1,0,0,0,0,0,1,1,1,2,900.00
99030690,1,0,1,,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,21,0,0,0,0,368.501666,52,0,0,1660.16,0,1,3.401417,1660.16,0,1,0,0,0,0,0,0,0,0,0,1,561.90
99030982,1,0,1,512,0,1,0,0,1,0,0.48,0,0,0,0.52,0,0,59,0,0,64,0,325.833333,0,0,115.699166,0,31,1,0,55.68,0,1,2.152527,55.68,0,1,0,0,0,0,0,0,0,0,1,1,632.36
99031004,1,0,0,284,0,1,0,0,1,1,0.73,0,0,0,0.22,0.05,0,30,0,0,9,2,59.166666,0,0,17.124166,66.25,21,0,0,5.66,0,1,4.06519,5.66,0,1,1,0,0,0,0,0,0,0,1,2,648.65
99031135,1,0,0,432,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,685.93,0,1,0,15.585262,685.93,0,0,0,0,0,0,0,0,1,1,0,1,620.62
99031165,1,0,0,,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,10,0,0,0,0,1788.245,65,0,0,10019.06,0,1,1.303705,10019.06,0,1,0,0,0,0,0,0,0,0,0,1,911.00
99031527,1,0,1,455,0,1,0,0,1,0,0.76,0,0,0,0.24,0,0,28,0,0,9,0,367.083333,0,0,3.335,0,40,1,0,5.46,0,1,2.775398,5.46,0,0,1,0,0,0,0,0,0,0,1,1,676.22
99031702,1,0,0,495,0,0,0,0,1,1,0,0,0,0,0.08,0.92,0,0,0,0,1,12,0,0,0,8.025,1129.166666,46,0,417.3292,10015.9008,0.04,0.96,55.16517,10433.23,0,1,0,0,0,0,0,0,1,1,1,2,835.31
99031729,1,0,0,,0,1,1,0,1,1,0.16,0,0,0.11,0.73,0.01,1,26,18,0,121,1,90.833333,60.246666,0,222.460833,16.666666,21,0,0,234.44,0,1,2.152527,234.44,0,1,0,0,0,0,0,0,0,0,1,1,447.50
99031804,1,0,0,,0,1,0,0,0,1,0.97,0,0,0,0,0.03,0,37,0,0,0,1,716.666666,0,0,0,0.833333,21,0,0,575.9,0,1,4.082947,575.9,0,1,1,0,0,0,0,0,0,0,1,2,795.38
99031820,1,0,1,505,0,1,0,0,1,0,0.72,0,0,0,0.28,0,0,128,0,0,50,0,305.833333,0,0,59.3175,0,29,1,3020.2029,30.5071,0.99,0.01,2.775398,3050.71,0,0,1,0,1,0,0,0,0,0,1,2,690.96
99031876,1,0,1,563,0,1,0,0,1,0,0.7,0,0,0,0.3,0,0,45,0,0,19,0,260.833333,0,0,3.613333,0,53,1,0,1.09,0,1,2.775398,1.09,0,0,1,0,0,0,0,0,0,0,1,1,725.25
99032041,1,0,0,,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,39,0,0,0,0,1269.24,67,0,0,1139.04,0,1,4.492004,1139.04,0,1,0,0,0,0,0,0,0,0,0,1,1083.49
99032319,1,0,1,528,0,1,0,0,1,0,0.8,0,0,0,0.2,0,0,70,0,0,17,0,192.916666,0,0,24.473333,0,35,1,0,116.67,0,1,2.775398,116.67,0,0,1,0,0,0,0,0,0,0,1,1,723.33
99032325,1,0,1,505,0,1,0,0,1,0,0.64,0,0,0,0.36,0,0,29,0,0,16,0,114.583333,0,0,24.081666,0,32,0,0,2.13,0,1,2.775398,2.13,0,0,1,0,0,0,0,0,0,0,1,1,632.08
99032373,1,0,1,538,0,1,0,0,1,0,0.8,0,0,0,0.2,0,0,36,0,0,9,0,231.25,0,0,16.871666,0,34,0,0,1.65,0,1,2.775398,1.65,0,0,1,0,0,0,0,0,0,0,1,1,687.04
99032390,1,0,1,395,0,1,0,0,1,0,0.38,0,0,0,0.62,0,0,91,0,0,146,0,345.833333,0,0,170.146666,0,30,1,0,1.88,0,1,2.775398,1.88,0,0,1,0,0,0,0,0,0,0,1,1,617.64
99032481,1,0,0,408,0,1,0,0,1,1,0.24,0,0,0,0.66,0.1,0,24,0,0,65,10,175,0,0,130.108333,180.416666,42,0,0,0.58,0,1,4.260253,0.58,0,1,0,0,0,0,0,0,0,0,1,1,600.40
99032567,1,0,1,502,0,1,0,0,1,0,0.37,0,0,0,0.63,0,0,45,0,0,76,0,401.666666,0,0,63.743333,0,24,1,0,0.14,0,1,2.775398,0.14,0,0,1,0,0,0,0,0,0,0,1,1,599.30
99032579,1,0,0,451,0,1,0,0,1,0,0.66,0,0,0,0.34,0,0,40,0,0,21,0,279.583333,0,0,30.509166,0,20,1,0,0,0,0,2.775398,0,0,0,1,0,0,0,0,0,0,0,1,1,623.08
99032698,1,0,1,313,0,1,0,0,1,0,0.9,0,0,0,0.1,0,0,74,0,0,8,0,334.166666,0,0,25.8675,0,43,1,0,6.23,0,1,2.775398,6.23,0,0,1,0,0,0,0,0,0,0,1,1,650.50
99032811,1,0,1,477,0,1,0,0,1,1,0.53,0,0,0,0.44,0.02,0,23,0,0,19,1,165.833333,0,0,80.445833,250,24,0,6569.2638,66.3562,0.99,0.01,2.152527,6635.62,0,1,0,0,1,0,0,0,0,0,1,2,972.30
99032826,1,0,0,458,0,1,0,0,1,1,0.53,0,0,0,0.4,0.08,0,28,0,0,21,4,213.75,0,0,80.7775,259.166666,25,0,7655.97,0,1,0,12.844623,7655.97,0,1,0,0,0,0,0,1,0,0,1,2,653.12
99032833,1,0,0,397,0,1,0,0,1,1,0.38,0,0,0,0.43,0.2,0,23,0,0,26,12,110.416666,0,0,71.884166,200.833333,35,0,0,0,0,0,7.387902,0,0,1,0,0,0,0,0,0,0,0,1,1,668.91
99032860,1,0,1,500,0,1,0,0,1,0,0.72,0,0,0,0.28,0,0,47,0,0,18,0,242.916666,0,0,16.358333,0,40,1,0,0.89,0,1,2.775398,0.89,0,0,1,0,0,0,0,0,0,0,1,1,673.28
99032909,1,0,1,481,0,1,0,0,1,1,0.23,0,0,0,0.74,0.04,0,30,0,0,98,5,103.333333,0,0,121.858333,104.166666,46,0,0,18.64,0,1,2.775398,18.64,0,0,1,0,0,0,0,0,0,0,1,1,654.24
99032927,1,0,0,,0,1,0,0,1,0,0.58,0,0,0,0.42,0,0,31,0,0,22,0,365.833333,0,0,14.793333,0,39,1,0,0.59,0,1,2.775398,0.59,0,0,1,0,0,0,0,0,0,0,1,1,574.02
99032936,1,0,1,582,0,1,0,0,1,1,0.74,0,0,0,0.2,0.06,0,87,0,0,23,7,306.25,0,0,9.3825,53.221666,25,1,0,0.56,0,1,7.466543,0.56,0,0,1,0,0,0,0,0,0,0,1,1,719.61
99032980,1,0,0,533,1,1,0,0,0,1,0.5,0,0,0,0,0.5,0,4,0,0,0,4,63.333333,0,0,0,300.623333,37,0,5146,0,1,0,11.995801,5146,0,1,0,0,0,0,0,1,0,0,0,2,653.00
99033074,1,0,0,,0,1,0,0,1,1,0.46,0,0,0,0.33,0.21,0,24,0,0,17,11,106.25,0,0,23.609166,129.416666,34,0,0,0.1,0,1,4.269182,0.1,0,1,0,0,0,0,0,0,0,0,1,1,574.08
99033100,1,0,0,,0,1,0,0,0,1,0.97,0,0,0,0,0.03,0,67,0,0,0,2,875.083333,0,0,0,1875,46,0,0,1651.41,0,1,2.152527,1651.41,0,1,0,0,0,0,0,0,0,0,1,1,1003.22
99033159,1,0,1,485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,1.303705,0,0,1,0,0,0,0,0,0,0,0,0,1,712.41
99033203,1,0,0,415,0,1,1,0,1,0,0.64,0,0,0.03,0.33,0,0,134,7,0,68,0,428.75,37.793333,0,229.995,0,28,1,0,21.19,0,1,19.442258,21.19,0,0,1,0,0,0,0,0,1,1,1,2,687.77
99033376,1,0,0,399,0,1,0,0,1,0,0.43,0,0,0,0.57,0,0,3,0,0,4,0,2.916666,0,0,10.604166,0,34,0,0,1.1,0,1,2.775398,1.1,0,0,1,0,0,0,0,0,0,0,1,1,651.87
99033393,1,0,0,456,0,1,0,0,1,0,0.8,0,0,0,0.2,0,0,49,0,0,12,0,338.75,0,0,17.49,0,26,1,0,3.27,0,1,2.775398,3.27,0,0,1,0,0,0,0,0,0,0,1,1,668.37
99033410,1,0,0,,0,1,0,0,1,1,0.79,0,0,0,0.2,0.01,0,140,0,0,36,1,431.666666,0,0,69.293333,15.360833,20,1,0,62.29,0,1,2.775398,62.29,0,0,1,0,0,0,0,0,0,0,1,1,615.42
99033421,1,0,0,561,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,491.666666,33,0,10162.3,0,1,0,11.995801,10162.3,0,1,0,0,0,0,0,1,0,0,0,2,685.00
99033432,1,0,0,,0,1,1,0,1,1,0.27,0,0,0.21,0.35,0.17,2,83,63,0,106,53,505.833333,349.051666,0,197.9375,1064.475833,29,0,0,24.07,0,1,12.156839,24.07,0,1,0,0,0,0,0,0,0,0,1,1,1192.06
99033453,1,0,1,414,0,1,0,0,1,0,0.31,0,0,0,0.69,0,0,13,0,0,29,0,101.666666,0,0,71.675,0,24,1,0,0.82,0,1,4.079103,0.82,0,1,1,0,0,0,0,0,0,0,1,2,640.18
